job_title,job_id,city,state,salary,posted_date,job_url,company,education_needed,is_remote,last_scanned_at,description
Physical Therapist Assistant (PTA) - Ortho. / Neuro. / Aquatic,req37459,Germantown,"MD, USA",$25.35 - $44.55,NA,https://careers.medstarhealth.org/global/en/job/req37459/Physical-Therapist-Assistant-PTA-Ortho-Neuro-Aquatic,medstar,NA,False,2025-08-19 15:13:25,"MedStar Health is currently looking for a Physical Therapist Assistant with specialization in Ortho., Neuro., and Aquatic therapy. This is a full-time position requiring rotation during day or evening shifts. The position is based in Germantown, MD. MedStar Health offers a comprehensive healthcare package (including medical, dental and vision subject to eligibility requirements) and other benefits. MedStar Health, the largest healthcare provider in the Baltimore-Washington, D.C. region, is consistently committed to providing the highest quality care for people in Maryland and Washington, D.C."
Urology Physician,MMG2283,Leonardtown,MD,"$50,000 ",NA,https://careers.medstarhealth.org/global/en/job/MMG2283/Urology-Physician-MedStar-St-Mary’s-Hospital,medstar,NA,False,2025-08-19 15:13:34,"MedStar Health is hiring a full-time Urology Physician for MedStar St. Mary’s Hospital located in Leonardtown, MD. The salary offered for this position is based on a number of factors set by MedStar Health. The organization emphasizes strongly on teamwork, equity, inclusion and diversity, offers a comprehensive total rewards package and career opportunities close to home."
Surgical Assistant,req36382,Clinton,MD,$34.98 - $62.52,NA,https://careers.medstarhealth.org/global/en/job/req36382/Surgical-Assistant,medstar,NA,False,2025-08-19 15:13:42,"MedStar Health is hiring for a Full-Time Surgical Assistant. The role requires shift work with rotating weekends. MedStar offers a comprehensive healthcare package (including medical, dental and vision subject to eligibility requirements) and other benefits. The organization is dedicated to providing the highest quality care and advancing the practice of medicine through education, innovation, and research."
Ultrasound Technologist - MFM - PRN,req38488,Baltimore,MD,$34.98 - $62.52,NA,https://careers.medstarhealth.org/global/en/job/req38488/Ultrasound-Technologist-MFM-PRN,medstar,NA,False,2025-08-19 15:13:50,"This position is for an Ultrasound Technologist - MFM - PRN in Baltimore, MD. The job involves responsibilities related to ultrasound technology and requires working as part of the team at MedStar Health. MedStar Health emphasizes teamwork, equity, inclusion, and diversity. The organization provides a comprehensive total rewards package and numerous career opportunities. The role is part-time, designed for in-person work."
PRN Acute Care Occupational Therapist Assistant (COTA),req38084,Washington,DC,$25.35 - $44.55,NA,https://careers.medstarhealth.org/global/en/job/req38084/PRN-Acute-Care-Occupational-Therapist-Assistant-COTA,medstar,NA,False,2025-08-19 15:14:04,"The job position is part-time and focuses on physical and occupational therapy. The job requires weekend shifts and features an in-person work environment. MedStar Health, the hiring organization, offers a comprehensive healthcare package (including medical, dental, and vision) along with other benefits."
Medical Assistant- PRN Urology Surgery,req33690,"Washington, DC, USA",Washington,$23.123 - $35.291,NA,https://careers.medstarhealth.org/global/en/job/req33690/Medical-Assistant-PRN-Urology-Surgery,medstar,NA,False,2025-08-19 15:14:19,"We are currently seeking a Medical Assistant to join our urology team. The position will be part time, based in Washington Hospital Center. The position will involve patient support services. We strive to create a positive, inclusive environment where our associates feel valued and empowered. We focus on team work, equity and a comprehensive total rewards package."
Echo Tech Cardiac Sonographer - PRN,req19495,Baltimore,MD,$34.98 -,NA,https://careers.medstarhealth.org/global/en/job/req19495/Echo-Tech-Cardiac-Sonographer-PRN,medstar,NA,False,2025-08-19 15:14:29,"This part-time Echo Tech Cardiac Sonographer position is based in Baltimore, MD at the Harbor Hospital Inc. The role includes day shifts with rotating weekends. MedStar Health offers a comprehensive healthcare package and is committed to equity, inclusion, diversity, and professional development. They are the largest healthcare provider in the Baltimore-Washington, D.C. region and are dedicated to providing the highest quality care for people in Maryland and the Washington, D.C. region."
MA Clinical Team Coordinator,req38937,Charlotte Hall,MD,$22.04 - $38.41,NA,https://careers.medstarhealth.org/global/en/job/req38937/MA-Clinical-Team-Coordinator,medstar,NA,False,2025-08-19 15:14:43,"A vacancy exists for the position of MA Clinical Team Coordinator at MedStar Health, a healthcare provider operating in the Baltimore-Washington, D.C. region.  The healthcare package including medical, dental and vision is comprehensive, subject to eligibility requirements and other benefits. The salary offered for this position is based on a number of legitimate, non-discriminatory factors set by MedStar Health. MedStar Health is fully committed to ensuring equal pay opportunities for equal work regardless of gender, race, or any other category protected by federal, state, and local pay equity laws. MedStar Health is an Equal Opportunity employer."
"Occupational Therapist Home Care, DC",req38280,Washington,DC,"$72,758 - $130,041",NA,https://careers.medstarhealth.org/global/en/job/req38280/Occupational-Therapist-Home-Care-DC,medstar,NA,False,2025-08-19 15:14:56,"MedStar Health is hiring a full-time Occupational Therapist for Home Care in Washington, DC. This includes rotating weekends. As part of MedStar Health, you will be part of a team dedicated to providing the highest quality care for people in Maryland and the Washington, D.C. region, while advancing the practice of medicine through education, innovation, and research. The organization emphasizes teamwork, equity, inclusion, & diversity, and offers a comprehensive total rewards package."
Weekendist MedStar Health Urgent Care Provider (Physician - Physician Assistant - Nurse Practitioner) - South Region-N,MMG2359,Waldorf,MD,"$224,640 - $291,200",NA,https://careers.medstarhealth.org/global/en/job/MMG2359/Weekendist-MedStar-Health-Urgent-Care-Provider-Physician-Physician-Assistant-Nurse-Practitioner-South-Region-N,medstar,NA,False,2025-08-19 15:15:05,"This job is full time, based in Waldorf, MD with MedStar Health Urgent Care. The provider will work in-person during the day shifts. The salary package includes medical, dental, and vision benefits subject to eligibility requirements. The role is committed to fostering an inclusive and positive environment where associates feel connected and fulfilled. There are opportunities for growth and development within the MedStar Health organization."
Weekendist MedStar Health Urgent Care Provider (Physician - Physician Assistant - Nurse Practitioner) - West Region,MMG2358,Gaithersburg,MD,"$224,640 - $291,200",NA,https://careers.medstarhealth.org/global/en/job/MMG2358/Weekendist-MedStar-Health-Urgent-Care-Provider-Physician-Physician-Assistant-Nurse-Practitioner-West-Region,medstar,NA,False,2025-08-19 15:15:23,"The Weekendist MedStar Health Urgent Care Provider will work full-time during the day. This position is based in-person in Gaithersburg, MD, in the West Region. This role is associated with 3 categories in MedStar Health Urgent Care. In addition to your salary, MedStar Health offers a comprehensive healthcare package (including medical, dental and vision subject to eligibility requirements) and other benefits. The salary offered for this specific position is based on a number of legitimate, non-discriminatory factors set by MedStar Health. MedStar Health is fully committed to ensuring equal pay opportunities for equal work regardless of gender, race, or any other category protected by federal, state, and local pay equity laws."
Inpatient PA / NP Neurosurgery Opportunity – MedStar Washington Hospital Center,MMG2319,Washington,DC,"$125,000 - $175,000",NA,https://careers.medstarhealth.org/global/en/job/MMG2319/Inpatient-PA-NP-Neurosurgery-Opportunity-MedStar-Washington-Hospital-Center,medstar,NA,False,2025-08-19 15:15:39,"In addition to your salary, MedStar Health offers a comprehensive healthcare package (including medical, dental and vision subject to eligibility requirements) and other benefits. This position is in MedStar Medical Group Neurosurgery. The working hours are full-time day shift, in person. We hire people to work in different locations, and we comply with the federal, state and local laws governing each of those locations. We treat each other with respect and strive to create an inclusive and positive environment."
Physical Therapist (PT) - Outpatient Ortho. / Neuro.,req19094,Silver Spring,"MD, USA","$10,000 ",NA,https://careers.medstarhealth.org/global/en/job/req19094/Physical-Therapist-PT-Outpatient-Ortho-Neuro,medstar,NA,False,2025-08-19 15:15:50,"The position is for a Physical Therapist at MedStar Health in the Outpatient Ortho. / Neuro department. The job is located in Silver Spring, MD. MedStar Health offers a comprehensive healthcare package and competitive pay. They value teamwork, equity, and inclusion, and they provide numerous opportunities for growth and advancement. MedStar Health is the largest healthcare provider in the Baltimore-Washington region and is dedicated to providing high quality care and advancing medical practice through education, innovation, and research."
Weekendist MedStar Health Urgent Care Provider (Physician - Physician Assistant - Nurse Practitioner) - DC Region,MMG2357,Washington,DC,"$224,640 - $291,200",NA,https://careers.medstarhealth.org/global/en/job/MMG2357/Weekendist-MedStar-Health-Urgent-Care-Provider-Physician-Physician-Assistant-Nurse-Practitioner-DC-Region,medstar,NA,False,2025-08-19 15:16:00,"This is an opportunity for physicians, physician assistants or nurse practitioners to work at MedStar Health Urgent Care. The position calls for strong emphasis on teamwork and strategic focus on equity, inclusion, & diversity. MedStar Health offers a comprehensive healthcare package, competitive pay, generous time off, great health and wellness benefits, and opportunities for career advancement. The hiring entity is an Equal Opportunity Employer."
Physical Therapist (PT) - Outpatient Ortho.,req37460,Oxon Hill,MD,"$72,758 - $130,041",NA,https://careers.medstarhealth.org/global/en/job/req37460/Physical-Therapist-PT-Outpatient-Ortho,medstar,NA,False,2025-08-19 15:16:12,"MedStar Health is looking for a full-time Physical Therapist specialized in outpatient ortho. The job is based in Oxon Hill, MD and requires day/evening shifts. At MedStar Health, we understand that our ability to treat others well begins with how we treat each other. We work hard to foster an inclusive and positive environment where our associates feel valued, connected, and empowered."
Women's Health OBGYN Full-Scope Generalist Opportunity – MedStar St. Mary’s Hospital,MMG2372,Leonardtown,"MD, US","$235,900 - $357,650",NA,https://careers.medstarhealth.org/global/en/job/MMG2372/Women-s-Health-OBGYN-Full-Scope-Generalist-Opportunity-MedStar-St-Mary’s-Hospital,medstar,NA,False,2025-08-19 15:16:24,"This job role is full-time Women's Health OBGYN Full-Scope Generalist at MedStar St. Mary’s Hospital. There is a strong emphasis on teamwork and commitment to equity, inclusion, & diversity. The job also comes with comprehensive total rewards package including competitive pay, generous paid time off, health and wellness benefits, retirement savings, and education assistance."
Medical Assistant (PRN) - Urgent Care,req39974,Hanover,MD,$19.17 - $33.08,NA,https://careers.medstarhealth.org/global/en/job/req39974/Medical-Assistant-PRN-Urgent-Care,medstar,NA,False,2025-08-19 15:16:39,"The role is part-time, centered around providing quality patient support services. The urgency care unit of MedStar Health based in Hanover, MD is currently seeking applications. In return, MedStar promises a inclusive and positive working environment with a strategic focus on equity, inclusion, and diversity. The organization offers a comprehensive package of pay and benefits, and opportunities for professional development and personal growth. MedStar Health emphasizes teamwork and offers a wide range of career opportunities given its status as the largest healthcare provider in the Baltimore-Washington, D.C region."
Medical Assistant (PRN),req29495,Chevy Chase,MD,$19.17 -,NA,https://careers.medstarhealth.org/global/en/job/req29495/Medical-Assistant-PRN,medstar,NA,False,2025-08-19 15:16:48,"Medical Assistant (PRN) position available in MedStar Health. The role is located in Chevy Chase, MD. Part-Time job with various shifts available. In addition to the salary, MedStar Health offers a comprehensive healthcare package (including medical, dental, and vision subject to eligibility requirements). MedStar Health ensures equal opportunity for all applicants and employees. The salary offered for this position is based on legitimate, non-discriminatory factors set by MedStar Health."
Occupational Therapist OT - Acute Care PRN,req40264,Baltimore,MD,"$72,758 - $130,041",NA,https://careers.medstarhealth.org/global/en/job/req40264/Occupational-Therapist-OT-Acute-Care-PRN,medstar,NA,False,2025-08-19 15:17:00,"MedStar Health is seeking an Occupational Therapist for Acute Care to work part-time during the day shift in Baltimore, MD. The company offers competitive pay, generous paid time off, wellness benefits, and education assistance. The role emphasizes teamwork and promotes the organization's commitment to equity, inclusion and diversity. MedStar Health is the largest healthcare provider in the Baltimore-Washington, D.C. region."
Medical Assistant (PRN) - Urgent Care,req39972,Hanover,MD,$19.17 - $33.08,NA,https://careers.medstarhealth.org/global/en/job/req39972/Medical-Assistant-PRN-Urgent-Care,medstar,NA,False,2025-08-19 15:17:10,"MedStar Urgent Care is hiring a part-time Medical Assistant for their location in Hanover, MD. The shift is a day/evening shift with rotating weekend. You will be part of a team of 32,000 physicians, nurses, residents, fellows, and other clinical and non-clinical associates working in a variety of settings across our health system."
Social Worker I,req40187,Washington,"DC, USA","$60,632 - $107,494",NA,https://careers.medstarhealth.org/global/en/job/req40187/Social-Worker-I,medstar,NA,False,2025-08-19 15:17:22,"MedStar health is looking to employ a full-time social worker in a day shift role at Georgetown University Hospital in Washington, DC. They offer a comprehensive healthcare package, and the salary is based on experience and skills. MedStar prides itself in its team environment and a strong emphasis on equity, inclusion, and diversity. They offer a total rewards package, including competitive pay, time off, and health benefits. MedStar is the largest healthcare provider in Baltimore-washington with numerous career opportunities."
Sterile Processing Tech,req39943,Baltimore,MD,$17.5 - $28.73,NA,https://careers.medstarhealth.org/global/en/job/req39943/Sterile-Processing-Tech,medstar,NA,False,2025-08-19 15:17:31,"The Sterile Processing Tech will be part of MedStar Health, the largest healthcare provider in the Baltimore-Washington, D.C. region. His/her role contributes to MedStar Health's mission of providing the highest quality care for people in Maryland and the Washington, D.C. region, while advancing the practice of medicine through education, innovation, and research."
Regional Medical Director of Neurology - MedStar Health,MMG2407,Baltimore,US,"$325,000 - $350,000",NA,https://careers.medstarhealth.org/global/en/job/MMG2407/Regional-Medical-Director-of-Neurology-MedStar-Health-in-Baltimore,medstar,NA,False,2025-08-19 15:17:41,"The role is a full-time, day shift position in Neurology at MedStar Health. MedStar Health, the largest healthcare provider in the Baltimore-Washington, D.C. region, is dedicated to providing the highest quality care for people in Maryland and the Washington, D.C. region, while advancing the practice of medicine through education, innovation, and research. The organization includes physicians, nurses, residents, fellows, and many other clinical and non-clinical associates working in a variety of settings across the health system."
Women's Health Department Chair - MedStar Washington Hospital Center,MMG2368,Washington,DC,"$300,000 - $357,650",NA,https://careers.medstarhealth.org/global/en/job/MMG2368/Women-s-Health-Department-Chair-MedStar-Washington-Hospital-Center,medstar,NA,False,2025-08-19 15:17:53,"MedStar Health is looking for a Health Department Chair for Women's Health at the MedStar Washington Hospital Center. MedStar Health is the largest healthcare provider in the Baltimore-Washington, D.C. region. They are dedicated to providing the highest quality care for people in Maryland and the Washington, D.C. region, while advancing the practice of medicine through education, innovation, and research. The team embodied 32,000 physicians, nurses, residents, fellows, and many other clinical and non-clinical associates working in a variety of settings across their health system, including 10 hospitals and more than 300 community-based locations, the largest home health provider in the region, and highly respected institutes dedicated to research and innovation."
Ambulatory Nurse Coordinator (RN) Infusion,req34619,Washington,DC,"$87,318 - $149,094",NA,https://careers.medstarhealth.org/global/en/job/req34619/Ambulatory-Nurse-Coordinator-RN-Infusion,medstar,NA,False,2025-08-19 15:18:02,"The Ambulatory Nurse Coordinator (RN) Infusion is a full-time day shift role based in Washington, DC. This role is with Washington Hospital Center. The responsibilities include coordinating and providing high-quality care for patients, innovating healthcare practices, and fostering a positive work environment. Available to applicants of all protected statuses, and a reminder that MedStar employs on an at-will basis."
Peer Recovery Coach,req39947,Clinton,"MD, USA",$19.17 - $33.08,NA,https://careers.medstarhealth.org/global/en/job/req39947/Peer-Recovery-Coach,medstar,NA,False,2025-08-19 15:18:12,"The job role is for a Peer Recovery Coach at MedStar Health in Clinton, MD. The position offers full-time hours with a day shift. MedStar Health provides competitive pay, generous paid time off, health and wellness benefits, retirement savings, education assistance, and more. As the largest healthcare provider in the Baltimore-Washington, D.C. region, MedStar Health offers many career advancement opportunities. The successful candidate will join a team of over 32,000 professionals working in a variety of clinical and non-clinical settings."
Manager Financial Planning/Analysis,req39980,Columbia,MD,"$93,142 - $175,968",NA,https://careers.medstarhealth.org/global/en/job/req39980/Manager-Financial-Planning-Analysis,medstar,NA,False,2025-08-19 15:18:22,"This is a full-time role for Manager Financial Planning/Analysis at MedStar Health. The position offers a comprehensive healthcare package (including medical, dental and vision subject to eligibility requirements) and other benefits. The work environment emphasizes teamwork, inclusivity, and valuing associates. The location is hybrid, indicating remote work opportunities. As the largest healthcare provider in the Baltimore-Washington, D.C. region, MedStar Health offers numerous opportunities for career growth."
Sterile Processing Supervisor,req39298,Baltimore,MD,"$58,656 - $98,384",NA,https://careers.medstarhealth.org/global/en/job/req39298/Sterile-Processing-Supervisor,medstar,NA,False,2025-08-19 15:18:30,"MedStar Health is in search of a full-time Sterile Processing Supervisor to be based in Baltimore, MD. This role involves working night shifts and being physically present at the location. MedStar Health is a healthcare organization providing quality care across Maryland and the Washington, D.C. region. They value teamwork, inclusion, and diversity, and offer a comprehensive total rewards package."
Mammography Technologist - PRN,req4380,Washington,DC,$34.98 -,NA,https://careers.medstarhealth.org/global/en/job/req4380/Mammography-Technologist-PRN,medstar,NA,False,2025-08-19 15:18:40,"This is a part-time position at Georgetown University Hospital in Washington, DC. MedStar Health offers a comprehensive healthcare package and other benefits. The position involves in-person work. MedStar Health is the largest healthcare provider in the Baltimore-Washington, D.C. region, providing numerous opportunities for career growth. MedStar Health is dedicated to providing the highest quality care and advancing the practice of medicine through education, innovation, and research."
MRI Supervisor,req34917,Washington,DC,$87318.40 - $157289.60,NA,https://careers.medstarhealth.org/global/en/job/req34917/MRI-Supervisor,medstar,NA,False,2025-08-19 15:18:54,"The position is for a full-time MRI Supervisor at MedStar Health located in Washington, DC. The shift includes day, evening, and night shifts with rotating weekends. As part of the MedStar Health team, the candidate will be part of an organization committed to delivering the highest quality care and advancing the practice of medicine through education, innovation, and research. The MRI Supervisor position involves working in a team environment, and the organization emphasizes inclusion, equity, and diversity."
Medical Assistant,req41127,Charlotte Hall,MD,$19.17 - $33.08,NA,https://careers.medstarhealth.org/global/en/job/req41127/Medical-Assistant,medstar,NA,False,2025-08-19 15:19:05,"The medical assistant position is a full-time day/evening shift with rotating weekend in Charlotte Hall, MD, USA for MedStar Urgent Care. MedStar Health offers a comprehensive healthcare package including medical, dental, and vision subject to eligibility requirements, along with other benefits. The organization promises a positive and inclusive environment for its associates. The role is closer to home, in the largest healthcare provider in the Baltimore-Washington, D.C. region. MedStar Health is dedicated to providing quality care for people in Maryland and the Washington, D.C. region, offering numerous opportunities for career growth."
