job_title,job_id,city,state,salary,posted_date,job_url,company,education_needed,is_remote,last_scanned_at,description_summary
Vascular Sonographer,118093,NA,NA,"$29.80 - $52.50 HRLY ($75,000 targeted; Commensurate w/exp.)",2025-08-24,https://jobs.jhu.edu/job/Baltimore-Vascular-Sonographer-MD-21205/1294878400/,jhons_hopkins,"Graduation from an accredited sonography school",False,2025-08-24 17:27:44,"The Department of Surgery is seeking a Vascular Sonographer. The Vascular Sonographer will perform various noninvasive laboratory diagnostic test of venous and arterial disease. This individual will be responsible for obtaining a brief relevant medical history of the patient’s vascular problem by interview and review of current and/or old medical records. Pertinent diagnostic findings will be documented by writing in the patient’s vascular laboratory chart and discussed with referring physician as required. Will work under the direct supervision of the Technical Director of the Vascular Laboratory, who is responsible to the Medical Director of the laboratory."
Ophthalmic Technician Assistant,118157,NA,NA,$17.20 - $30.30 HRLY ($27.03/hour targeted; Commensurate w/exp.),2025-08-24,https://jobs.jhu.edu/job/Baltimore-Ophthalmic-Technician-Assistant-MD-21287/1295050500/,jhons_hopkins,High school diploma or graduation equivalent,False,2025-08-24 17:27:53,"With close supervision and instruction, we are seeking an Ophthalmic Technician Assistant who will learn to assist the Ophthalmologist with patient care by performing ophthalmic testing. The Wilmer Eye Institute of Johns Hopkins University has an exciting opportunity for exceptional candidates to train for a career as an Ophthalmic Technician, no experience required. Start your career in Ophthalmology with one of the leading organizations in delivering state-of-the art eye care, training future healthcare leaders, and conducting cutting-edge research."
University Special Police Sergeant,117371,Washington,DC,$21.25 - $36.90 HRLY,2025-08-24,https://jobs.jhu.edu/job/Washington-University-Special-Police-Sergeant-DC-20001/1268239500/,jhons_hopkins,High School Diploma or GED,False,2025-08-24 17:28:03,"We are seeking a motivated, enthusiastic and customer service-oriented individual for the position of University Special Police Sergeant at the Hopkins Bloomberg Center in Washington, DC. This is an unarmed University Special Police Sergeant position. This position is responsible to supervise public safety staff and contract security, enforce departmental rules and regulations governing officers’ performance, initiate corrective and disciplinary action as necessary. It includes coordinating with the Lieutenant for appropriate scheduling of officers to ensure adequate shift coverage for regular shifts and special events and future staffing needs."
Security Systems Specialist (Overnight Shift),117348,Washington,DC,$16.20 - $28.80 HRLY,2025-08-24,https://jobs.jhu.edu/job/Washington-Security-Systems-Specialist-%28Overnight-Shift%29-DC-20001/1268238400/,jhons_hopkins,High school Diploma/GED,False,2025-08-24 17:28:12,"We are seeking a motivated, enthusiastic and customer service-oriented individual for the position of University Security Systems Specialist (Overnight Shift) at the Hopkins Bloomberg Center in Washington, DC. This position is for the overnight shift (11:30 PM-7:00 AM). Responsibilities include monitoring and responding to proprietary closed circuit television systems for events or activities, providing general assistance and information to University students, faculty, staff and visitors, and dealing with operational and special event assignments. High school Diploma/GED and two (2) years related experience working with security systems required."
Special Events Coordinator,118276,District of Columbia,District of Columbia,"$18.20 - $33.90 HRLY ($48,000 targeted; Commensurate w/exp.)",2025-08-23,https://jobs.jhu.edu/job/Washington-Special-Events-Coordinator-DC-20001/1302650400/,jhons_hopkins,High School Diploma or graduation equivalent,True,2025-08-24 17:28:21,"We are seeking an _Events Coordinator_ who will be responsible for supporting events, meetings and other activities hosted by JHU. Under guidance and supervision, this role will plan, organize and execute various aspects and logistics of special events or programs. Specific Duties & Responsibilities may include providing direct support and coordination for meetings, seminars, conferences, retreats, events and activities throughout the facility, submitting event staffing needs to Information Technology and Operations, and coordindate with Facilities staff."
Research Assistant,118344,Baltimore,MD,$17.20 - $26.25 HRLY ($23.75/hour targeted; Commensurate w/exp.),2025-08-23,https://jobs.jhu.edu/job/Baltimore-Research-Assistant-MD-21287/1302638800/,jhons_hopkins,Bachelor's Degree in related discipline,False,2025-08-24 17:28:29,"Dr. Ahmed Ghazi’s Simulation Innovation Lab (SIL), a research laboratory in the Department of Urology, is seeking a Research Assistant to contribute to ongoing projects and experiments pertaining to model development. The Research Assistant will aim to further SIL’s contributions to developing novel simulation models for surgical training, education, and rehearsal. The Research Assistant will oversee day-to-day data collection for research studies in support of the PI and contribute towards the development of novel simulation models."
"Associate Registrar, Compliance, FERPA, Special Projects",118329,Hybrid,Homewood Campus,"$64,600 - $113,300 Annually",2025-08-23,https://jobs.jhu.edu/job/Baltimore-Associate-Registrar%2C-Compliance%2C-FERPA%2C-Special-Projects-MD-21211/1302772100/,jhons_hopkins,Bachelor’s Degree,true,2025-08-24 17:28:38,"The Office of the Registrar is seeking an Associate Registrar, Compliance, FERPA, Special Projects who will report to the Associate Vice Provost and University Registrar and will focus on university wide registrar’s office compliance, develop and implement student services process, policy, organizational and technological enhancements, and maintain the registrar’s office operational procedures. Under the leadership of the Associate Vice Provost and University Registrar, the Associate Registrar will serve as a subject matter expert on data compliance and will be responsible for accuracy and quality control, and will be expected to support the mission and the goals of the Office of the University Registrar and university by ensuring that records are managed in an efficient, accurate, and compliant manner."
Clinical Nurse,118349,NA,Maryland,"$64,600 - $113,300 Annually",2025-08-23,https://jobs.jhu.edu/job/Baltimore-Clinical-Nurse-MD-21287/1302671500/,jhons_hopkins,Bachelor’s Degree in nursing or related discipline,False,2025-08-24 17:28:47,"The Department of Urology is seeking a Clinical Nurse to assist in the day-to-day outpatient practice and provide nursing support for Urology physicians in the department. Specific duties and responsibilities include assisting with new patient and follow-up visits in the outpatient clinic, working with patients to obtain outside medical records, speaking with patients to answer questions regarding current medical conditions and upcoming surgical procedures, calling patients to provide laboratory and other diagnostic test results, documenting contact with patients in the electronic medical record."
CRNA,117785,NA,MD,"$202,787 - $232,279",2025-08-23,https://jobs.jhu.edu/job/Baltimore-CRNA-MD-21287/1286772600/,jhons_hopkins,"Completion of a nurse anesthesia program approved by MD Board of Nursing. If the program was completed after 1/1/08, a Master's Degree is required.",False,2025-08-24 17:28:56,"We are currently seeking a CRNA. This position reports jointly to the Clinical Lead CRNA and the Division Chief of Nurse Anesthesia (Chief CRNA). Primary clinical responsibilities are the administration of intravenous, inhalation and other anesthetics to patients in an operating room and observing the physiological condition of patients while under anesthesia. In conjunction with these primary responsibilities evaluates each assigned patient's physical state and plans the course of anesthesia, obtains, assembles, operates, and/ or monitors anesthesia equipment and ensures that all necessary supplies, drugs and anesthetic agents are available."
CRNA,117784,Johns Hopkins Bayview,MD,"Hourly rate for PRN: $240.00, Full Time Range: $202,787 - $232,279",2025-08-23,https://jobs.jhu.edu/job/Baltimore-CRNA-MD-21224/1286771700/,jhons_hopkins,"Completion of a nurse anesthesia program approved by MD Board of Nursing. If the program was completed after 1/1/08, a Master's Degree is required",false,2025-08-24 17:29:06,"We are seeking a CRNA. This position reports jointly to the Clinical Lead CRNA and the Division Chief of Nurse Anesthesia (Chief CRNA). Primary clinical responsibilities are (a) the administration of intravenous, inhalation and other anesthetics to patients in an operating room and (b) observing the physiological condition of patients while under anesthesia. In conjunction with these primary responsibilities (a) evaluates each assigned patient's physical state and plans the course of anesthesia, (b) obtains, assembles, operates, and/or monitors anesthesia equipment and (c) ensures that all necessary supplies, drugs and anesthetic agents are available."
Research Program Coordinator,118350,NA,NA,$17.20 - $30.30 HRLY ($23.75/hour targeted; Commensurate w/exp.),2025-08-23,https://jobs.jhu.edu/job/Baltimore-Research-Program-Coordinator-MD-21287/1302673900/,jhons_hopkins,Bachelor's Degree in related discipline,False,2025-08-24 17:29:27,"The department of Urology is seeking a Research Program Coordinator who will be responsible for the oversight of day-to-day research project activities, including but not limited to recruitment, screening, team coordination, and data collection. Coordinate study protocol implementation and handle administrative aspects of research- related matters. Specific Duties Responsibilities include assistance with preparation of study materials, writing and submitting applications to IRB, designing forms and questionnaires, organizing study team meetings, overseeing budget expenditures and functioning as liaison between PI and other internal and external collaborators."
Nurse Practitioner,118347,Washington,D.C.,"$100,000 - $152,900 Annually",2025-08-23,https://jobs.jhu.edu/job/Washington-Nurse-Practitioner-DC-20016/1302661600/,jhons_hopkins,Master's Degree in Nursing,False,2025-08-24 17:29:36,"We are seeking a Nurse Practitioner to work in the Brady Urological Institute and Department of Urology at our Sibley Memorial Hospital location in Washington, D.C. This position is intended to collaborate with the faculty physician to provide Hopkins-quality continuum of care to patients with Urologic diseases in addition to see patients independently. Patients in the practice are drawn from local, national and international locales and often require coordination of multidisciplinary care. The nurse practitioner (NP) is an independent health care provider working cooperatively within a multi-disciplinary health team and is responsible for providing comprehensive care to patients."
Sr. Research Program Coordinator,118585,Baltimore,Maryland,"Starting Salary Range: $41,300 - $72,300 Annually ($41,300 targeted; Commensurate w/exp.)",2025-08-23,https://jobs.jhu.edu/job/Baltimore-Sr_-Research-Program-Coordinator-MD-21218/1310873300/,jhons_hopkins,Bachelor's Degree in related discipline,False,2025-08-24 17:29:45,"We are seeking a Sr. Research Program Coordinator who will work under the direct supervision of the Program Supervisor or the Principal Investigator. The Sr. Research Program Coordinator will be responsible for participant recruitment, performing clinical visits which include administering questionnaires and collecting patient samples. The Sr. RPC will oversee the day-to-day activities of the research study and will also be responsible for the organization, entry, maintenance and accuracy of all participants clinical and field research data in a timely and ongoing manner."
Ophthalmic Technician,118132,East Baltimore,NA,$19.75 - $35.35 HRLY ($31.43/hour targeted; Commensurate w/exp.),2025-08-23,https://jobs.jhu.edu/job/Baltimore-Ophthalmic-Technician-MD-21287/1294449000/,jhons_hopkins,High School Diploma or graduation equivalent,False,2025-08-24 17:29:53,"Ophthalmic Technician's primary role is to provide technician/clinical support to physicians. Secondary responsibilities include administrative duties such as responding to In-Basket messages from patients to answer questions., refill prescriptions after doctor verification, helps complete forms (i.e. MVA) and involves physicians as needed if patients’ questions require medical advice. The Wilmer Eye Institute of Johns Hopkins University has an exciting opportunity for exceptional candidates to train for a career as an Ophthalmic Technician, no experience required."
Clinical Nurse,118542,"Green Spring, White Marsh, Towson",Maryland,"$64,600 - $113,300 Annually ($89,000 targeted; Commensurate w/exp.)",2025-08-23,https://jobs.jhu.edu/job/Lutherville-Clinical-Nurse-MD-21093/1310821000/,jhons_hopkins,Bachelor's Degree in Nursing or related discipline preferred.,False,2025-08-24 17:30:02,"The Department of Otolaryngology is seeking a Clinical Nurse who applies nursing and clinic knowledge and skills to the delivery of individuals and/or population-based patient care in the clinics at Green Spring, White Marsh, and Towson. Tasks include coordinating care for assigned patients to promote the achievement of clinical outcomes and providing direct patient care based on the nursing process while mentoring others to promote quality and excellence of care. The clinical nurse will also establish a plan of care in conjunction with the physician, provide pre- and post-op education to patients and patient families, and ensure a high level of nursing care to patient."
Student Success Advisor,118521,Hybrid/School of Public Health,NA,$26.82 - $46.92 HRLY (Commensurate w/exp.),2025-08-23,https://jobs.jhu.edu/job/Baltimore-Student-Success-Advisor-MD-21205/1310874500/,jhons_hopkins,Master’s Degree,True,2025-08-24 17:30:10,"The Student Success Advisor at Johns Hopkins University will offer comprehensive career guidance, professional development, and life design principles specifically to BSPH international students, recent graduates, and alumni. They will provide coaching and guidance to international students, recent graduates, and alumni on developing targeted job searches in the public health sector. They will also act as subject matter experts to international students, recent graduates, and alumni, helping them develop long-term career and life plans in public health."
Patient Service Coordinator/Medical Assi,118595,Bethesda,NA,$16.20 - $28.80 HRLY ($22.50/hour Salary targeted; Commensurate w/exp.),2025-08-23,https://jobs.jhu.edu/job/Bethesda-Patient-Service-CoordinatorMedical-Assi-MD-20817/1310953600/,jhons_hopkins,"High School Diploma/GED and certification/registration as a Medical Assistant (e.g. CMA, AAMA, RMA, AMT, NAHP), or additional education may substitute for required experience and additional related experience may substitute for required education beyond HS Diploma/Graduation Equivalent",False,2025-08-24 17:30:20,"The Department of Otolaryngology is seeking a Patient Service Coordinator/Medical Assi who will work in an outpatient setting and have responsibilities in relation to patient care and clinic environment, providing exemplary customer service to patients, physicians and internal colleagues for meeting patient satisfaction goals. The position is centralized and will work across specialty centers ensuring optimum flow and customer service within the clinic."
Patient Service Coordinator/Medical Asst,118596,Bethesda,NA,$16.20 - $28.80 HRLY ($22.50/hour Salary targeted; Commensurate w/exp.),2025-08-23,https://jobs.jhu.edu/job/Bethesda-Patient-Service-CoordinatorMedical-Asst-MD-20817/1310967900/,jhons_hopkins,"High School Diploma/GED and certification/registration as a Medical Assistant (e.g. CMA, AAMA, RMA, AMT, NAHP)",False,2025-08-24 17:30:30,"The Department Otolaryngology is seeking a Patient Service Coordinator/Medical Assistant (PSC/MA) who will work in an outpatient setting and have responsibilities related to patient care and the clinic environment. Provides exemplary customer service to patients, physicians, and internal customers to aid in meeting patient satisfaction goals of the department. Job duties also include obtaining and recording patient’s vital signs, assisting patients to exam room, preparing examination or treatment areas, maintaining principles of aseptic technique and infection control, and understanding the use of an electronic medical records (EMR) system."
Nurse Practitioner,118598,St. Louis,Missouri,"$102,000 - $152,900 Annually ($130,000 targeted; Commensurate w/exp.)",2025-08-23,https://jobs.jhu.edu/job/St_-Louis-Nurse-Practitioner-MO-63120/1310994600/,jhons_hopkins,Master's Degree in nursing; Registered Nurse license and Certified as a Nurse Practitioner.,False,2025-08-24 17:30:39,The Division of Occupational and Environmental Medicine is seeking a Nurse Practitioner to manage the day-to-day clinical and operational activities of the PepsiCo St. Louis Plant. The position reports directly to the Central Regional Coordinator for the PBC/JHU partnership. The position also works closely with the Executive Director and Division Administrator of the Division of Occupational and Environmental Medicine.
Physician Assistant,118601,St. Louis,Missouri,"$102,000 - $152,900 Annually ($130,000 targeted; Commensurate w/exp.)",2025-08-23,https://jobs.jhu.edu/job/St_-Louis-Physician-Assistant-MO-63134/1310997200/,jhons_hopkins,Bachelor's Degree; Certification by the NCCPA or similar national certifying body; Completion of a CAAHEP-certified Physician Assistant program. Must be licensed in the state where practicing. National Board Certification,False,2025-08-24 17:30:47,The Division of Occupational and Environmental Medicine is seeking a Physician Assistant to manage the day-to-day clinical and operational activities of the PepsiCo St. Louis Plant in Missouri. The position reports directly to the Cental Regional Coordinator for the PepsiCo/JHU partnership. The position also works closely with the Executive Director and Division Administrator of the Division of Occupational and Environmental Medicine.
Internal Audit Manager,118008,NA,NA,"$85,500 - $149,800 Annually",2025-08-23,https://jobs.jhu.edu/job/Baltimore-Internal-Audit-Manager-MD-21218/1293371300/,jhons_hopkins,Bachelor’s degree,True,2025-08-24 17:30:54,"The Internal Audit Manager demonstrates subject matter expertise in operational internal auditing and the healthcare and/or higher education industry. Manages multiple complex internal audit projects. Manages and serves as a technical expert to internal audit staff. Partners with department leadership: Chief Audit Officer, Executive Director Operational Audits, and Associate Director to manage the day-to-day workflow of internal audit staff and completion of assigned internal audit plan. Develops and provides training to internal audit staff."
Research Assistant,118323,NA,NA,$17.20 - $30.30 HRLY,2025-08-22,https://jobs.jhu.edu/job/Baltimore-Research-Assistant-MD-21205/1302266400/,jhons_hopkins,Bachelor's Degree in related discipline,False,2025-08-24 17:31:02,"We are seeking a casual Research Assistant who will provide technical research support to the Arnold venture grant (principal investigator: Dr. Gerard Anderson). The duration of this position is 12 months and is subject to future renewal. This role will assist with managing electronic databases, data extraction, conduct literature searches, contribute to drafting reports, and perform data analysis under supervision."
"i-team Data Analytics Manager, Pittsburgh, PA",Requisition ID: 117802,Pittsburgh,Pennsylvania,"$73,300 - $128,300 Annually (Commensurate w/exp.)",2025-08-22,https://jobs.jhu.edu/job/Pittsburgh-i-team-Data-Analytics-Manager%2C-Pittsburgh%2C-PA-PA-15219/1286509400/,jhons_hopkins,Bachelor's Degree,False,2025-08-24 17:31:12,"The Bloomberg Center for Public Innovation at Johns Hopkins University (the Center) seeks an i-team Data Analytics Manager, Pittsburgh, PA to support a new Pittsburgh Innovation Team (“i-team”). Innovation Teams unlock creativity from within city governments and the communities they serve. These teams take partners and stakeholders through an evidence-based process to tackle the big problems in their cities no one has yet been able to solve, generate more ambitious responses, and test and adapt interventions until they produce impact. They also work closely with the Mayor, the City's leadership team, and City departments to change the culture of city government."
Research Assistant,118002,NA,NA,$17.20 - $30.30 HRLY,2025-08-22,https://jobs.jhu.edu/job/Baltimore-Research-Assistant-MD-21205/1294302700/,jhons_hopkins,Bachelor's Degree,False,2025-08-24 17:31:19,"The Department of Health Policy and Management is seeking a Research Assistant. The successful candidate will assist the Johns Hopkins Drug Access and Affordability Initiative. Primary responsibility is helping with data management and data analysis. Specific Duties & Responsibilities include assisting with data extraction from secondary data sources such as FDA drug databases, conducting literature searches to gather supporting information for papers, presentations, and other materials."
Research Program Assistant II,118326,NA,NA,"$15.70 - $26.25 HRLY ($32,656 targeted; Commensurate w/exp.)",2025-08-22,https://jobs.jhu.edu/job/Baltimore-Research-Program-Assistant-II-MD-21287/1300544800/,jhons_hopkins,High school diploma or graduation equivalent,False,2025-08-24 17:31:28,"We are seeking a Research Program Assistant II to assist with data collection, data entry, and operational functions for a research program. Collect data via abstraction from paper and electronic medical records. Maintain compliance with HIPAA guidelines. Call patients with reminders of their appointments. Conduct literature searches and organize data for program-related reports and papers. Set up and take down equipment for patient testing."
Research Assistant,118003,East Baltimore,Maryland,$17.20 - $30.30 HRLY,2025-08-22,https://jobs.jhu.edu/job/Baltimore-Research-Assistant-MD-21205/1294303200/,jhons_hopkins,Bachelor's Degree,False,2025-08-24 17:31:35,The Department of Health Policy and Management is seeking a Research Assistant. The successful candidate will assist ongoing projects on the US pharmaceutical supply chain. Primary responsibility is helping with data management and data analysis.
CRNA,118101,Howard County,MD,"$202,878 - $232,279",2025-08-22,https://jobs.jhu.edu/job/Columbia-CRNA-MD-21044/1294276900/,jhons_hopkins,Completion of a nurse anesthesia program approved by MD Board of Nursing.,False,2025-08-24 17:31:43,"This position reports jointly to the Clinical Lead CRNA and the Division Chief of Nurse Anesthesia (Chief CRNA). Primary clinical responsibilities are the administration of intravenous, inhalation and other anesthetics to patients in an operating room and observing the physiological condition of patients while under anesthesia. In conjunction with these primary responsibilities evaluates each assigned patient's physical state and plans the course of anesthesia, obtains, assembles, operates, and/ or monitors anesthesia equipment and ensures that all necessary supplies, drugs and anesthetic agents are available."
Sr. Design & Construction Project Manager,118136,NA,NA,"$85,500 - $149,800 Annually",2025-08-22,https://jobs.jhu.edu/job/Baltimore-Sr_-Design-&-Construction-Project-Manager-MD-21205/1294102700/,jhons_hopkins,"Bachelor's degree in Construction Management, Architecture, Engineering or related field",True,2025-08-24 17:31:52,"The Planning, Design & Construction (PD&C;) department is responsible for all major and minor capital projects for the Bloomberg School of Public Health (BSPH). Under general supervision of the Assistant Director of Planning, we are seeking a **_Sr. Design & Construction Project Manager_** who will manage and provide oversight on all phases of building design and construction for assigned projects. Manages new construction, renovation, and tenant fit out, and capital renewal projects ranging in cost up to, and often exceeding, $20 M. Typical assignments will include multiple projects with tight timelines, focused programs, difficult logistics and fixed budgets. Works cohesively with all units within the Bloomberg Facilities Management Department."
Research Program Assistant,117886,NA,NA,"$15.40 - $23.25 HRLY ($32,032 targeted; Commensurate w/exp.)",2025-08-22,https://jobs.jhu.edu/job/Baltimore-Research-Program-Assistant-MD-21287/1290380300/,jhons_hopkins,High school diploma or graduation equivalent,False,2025-08-24 17:32:13,"We are seeking a Research Program Assistant to be a part of the research team in the Division of Pulmonary and Critical Care Medicine. This position will be involved in data collection, entry, and management functions in a research program. Specific duties and responsibilities include: Collect data via abstraction from paper and electronic medical records, maintain logs of patient screening, treatments, and visits, data entry, management and calculations using a computerized database, word processing and spreadsheet software, review data input for accuracy and completeness, actively communicate and update supervising coordinators, collaborators, administrators, clinicians and/or and program leaders on patient enrollment/treatment/eligibility and data collection status via verbal and written communication."
"Admissions Officer, Slate Specialist",117791,NA,NA,"$48,000 - $84,100 Annually",2025-08-22,https://jobs.jhu.edu/job/Baltimore-Admissions-Officer%2C-Slate-Specialist-MD-21218/1286323600/,jhons_hopkins,Bachelor's Degree,True,2025-08-24 17:32:21,"We are seeking an Admissions Officer, Slate Specialist in the Office of Undergraduate Admissions will be responsible for recruiting and conducting application review from a specified regional territory for the first year and transfer admission to the Krieger School of Arts and Sciences and the Whiting School of Engineering. The position will involve in-person and virtual recruitment and requires about four weeks of off-campus travel a year. Some evening/weekend work required. In addition to the core responsibilities of an Admissions Officer, this person will serve as a member of the SLATE team."
Ophthalmic Technician,117842,East Baltimore,NA,$19.75 - $35.35 HRLY ($31.42/hour targeted; Commensurate w/exp.),2025-08-22,https://jobs.jhu.edu/job/Baltimore%2C-Ophthalmic-Technician-MD-21287/1287563700/,jhons_hopkins,High School Diploma or graduation equivalent,False,2025-08-24 17:32:30,"We are seeking an Ophthalmic Technician whose primary role is to provide technician/clinical support to physicians. This position will be required to work at any one of Wilmer’s locations based on the clinics’ needs. Travel is required. The Wilmer Eye Institute of Johns Hopkins University has an exciting opportunity for exceptional candidates to train for a career as an Ophthalmic Technician, no experience required. Start your career in Ophthalmology with one of the leading organizations in delivering state-of-the art eye care, training future healthcare leaders, and conducting cutting-edge research."
