title,salary,location,postedAt,description
Special Education > General Special Education,$10 per hour,"Potomac Falls High School - Sterling, Virginia",2025-08-04,"The job description for a Teacher, Special Education (Cross Category) in Loudoun County Public Schools involves planning and implementing instructional programs, providing educational services to students, and performing various duties related to student monitoring and control."
"CAT-A, CAT-B",$10 per hour,"Catoctin Elementary School 
Leesburg, Virginia",2025-08-03,"The job description for the Teacher, Special Education (Cross Category), at Loudoun County Public Schools involves planning and implementing instructional programs, supervising student behavior, and providing educational services."
Classroom Teacher Music Education,$10 per hour,"Sterling, VA",2025-08-04,"The job posting describes the Teacher position as a part-time music education teacher at Loudoun County Public Schools, specifically targeting high school students transitioning from adolescence to young adulthood. The primary responsibility is to design and implement an instructional program that promotes academic potential and encourages diversity in students' learning experiences."
English Learners Adult Education Instructor (Part-time) - Loudoun County Public Schools,$10 per hour.,"VA, Loudoun County",2025-08-04,"The English Learners Adult Education Instructor is responsible for planning and implementing lessons based on program curriculum, pacing guide, and class syllabus. They assist with registration, intake, and assessment, while also conveying detailed or important spoken instructions accurately and loudly to students."
Classroom Teacher > Alternative Learning Environment,$26.00 per hour,"Ashburn, VA",2025-08-04,"The job description for the distance learning teacher is for an alternative learning environment position in Loudoun County Public Schools, where the candidate will teach students from sixth to twelfth grade. The role involves designing and implementing instructional programs, creating assessments, monitoring student progress, and communicating with parents regularly."
Coaching experience or participation in the sport which you are applying for on high school or college levels.,$8 per hour.,"Purcellville, VA",2025-08-04,"The job description involves managing athlete programs, supervising coaches, collecting data, and maintaining academic standards. As an Assistant Coach under Head Athletic Coach, responsibilities include assisting with team supervision, recommending equipment and personnel, and participating in staff meetings."
Reports to: Principal or Assistant Principal,$21.40 - $24.08 per hour,"Sterling, VA",2025-08-04,"The employee is required to lift up to 25 pounds occasionally and/or regularly sit or remain in a stationary position for long periods, exerting up to 25 pounds of force occasionally."
Classroom Teacher > Elementary,$13-$15 per hour,"San-B, ASH-C
Ashburn, VA",2025-08-05,"The Teacher's primary role is to plan, implement, and assess an instructional program for kindergarten through fifth-grade students at Ashburn Elementary School in Loudoun County Public Schools. They are responsible for designing learning experiences, monitoring student progress, presenting information to parents, developing assessments, managing students outside the classroom, and fostering healthy academic and social behaviors through positive reinforcement."
Support Staff > Food Service,$15.65 per hour,"Aldie, VA",20250304,"An employee is responsible for overseeing students' behavior, assisting with lunchline tasks, maintaining classroom atmosphere, and helping parents/visitors in the lunchroom."
Behind the Wheel Instructor,$10 per hour,"Ashburn, Virginia",2025-08-04,"The Loudoun County Public Schools Health and Physical Education Office is seeking a part-time Map Behind the Wheel Instructor. The job description includes operating motor vehicles to transport students safely, working with individuals in extreme heat and cold conditions, and responding to inclement weather situations."
"Here is the full job title:

Teacher, Spanish",$10 per hour," Sterling, VA","August 04, 2025","This job posting describes a Classroom Teacher position for high school students, specifically targeting Spanish language learners. The role involves designing instructional programs, managing classroom expectations and student progress, preparing students for assessments, and promoting an environment that supports academic achievement and developmentally responsive learning."
Principal/Assistant Principal,$21.40 per hour,"Sterling, VA",2025-08-04,"The job description for a Paraprofessional/IA at Rolling Ridge Elementary School in Loudoun County Public Schools requires employees to assist teachers with students with physical disabilities or intellectual disabilities. Responsibilities include providing instructional support, training, and personal assistance, preparing classroom materials, supervising student behavior, and performing clerical duties."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Multiple Disabilities)",$8 per hour,"JML-G
Virginia",2025-08-04,"A paraprofessional IA (Instructional Assistant) is responsible for assisting teachers in providing instructional support, classroom management, and personal assistance to students with physical or intellectual disabilities. The role involves working under the guidance and supervision of the teacher, preparing classroom materials, supervising student behavior, and performing clerical duties as needed."
Specialized Instruction Facilitator,$12 per hour,"Virginia, Loudoun County",2025-08-03,"The Specialized Instruction Facilitator position requires regular contact with students and staff while standing, walking, and occasionally running. The role involves assisting teachers and other staff in developing knowledge of special education and implementing specially designed instruction. Physical demands include sitting, using hands for tasks, and lifting up to 25 pounds."
"Special Education > Autism Teacher, Special Education (Autism)",$13.50 per hour,"Loudoun County Public Schools
Harper Park Middle School - Leesburg, Virginia",2025-08-04,"The job description for an Autism Teacher at Loudoun County Public Schools involves planning and implementing instructional programs, managing student behavior, coordinating with other staff members, and communicating with students. The role requires frequent sitting, standing, walking, and reaching, as well as occasional lifting of up to 25 pounds."
Prefer experience as a teacher or classified employee in Loudoun County Public Schools.,$10 per hour,Virginia Ashburn,"Aug 4, 2025","Here is a concise summary of the job description:

The coaching position involves assisting the head athletic coach in running a well-structured football program at Stone Bridge High School, including attending meetings, implementing sports programs, making recommendations for equipment and discipline, and promoting teamwork and good sportsmanship among athletes."
"Teacher Assistant, Kindergarten",$21.40-$24.08,"Hamilton, Virginia",2025-08-04,"The job description involves assisting a teacher in the classroom by performing instructional tasks, supervising student behavior, preparing materials, and providing clerical support. The role requires experience as a paraprofessional or teaching aide, good human relations skills, and physical ability to work with children."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Early Childhood Special Education (ECSE) - Autism)",$12 per hour,VA,08-04-2025,"An employee in this assignment is responsible for assisting teachers by performing instructional duties, preparing classroom materials, supervising student behavior, and providing personal assistance. They work under the guidance and supervision of the teacher and meet specific learning objectives as established by the teacher to support students with physical disabilities or intellectual disabilities."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Cross Category)",$20 per hour,"Cedar Lane Elementary School - Ashburn, Virginia",08-04-2025,"An employee will provide instructional support, training, and personal assistance to students with physical disabilities or intellectual disabilities under the guidance and supervision of a teacher. The role involves assisting with classroom management, behavior supervision, lesson preparation, clerical duties, and providing basic care and hygiene assistance as required."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Cross Category)",$10 per hour.,"Trailside Middle School - Ashburn, VA",08-04-2025,"This is an Assistant/Paraprofessional Teacher Assistant position in Loudoun County Public Schools. The role involves assisting teachers with students with physical disabilities or intellectual disabilities, including classroom preparation, student behavior supervision, and personal care assistance."
Certified Athletic Trainer (CATS),$8.00 per hour,"Ashburn, VA",2025-08-04,"The Certified Athletic Trainer (ATC) provides emergency health care for injured athletes by developing plans, evaluating and treating injuries, maintaining medical supplies, and ensuring proper medical records are maintained. They also supervise the athletic training room, conduct in-service programs, and advise coaches on injury prevention practices."
"Special Education > General Special Education Teacher, Special Education Cross Categorical (SY 25-26)",$15 per hour,"Algonkian Elementary School - Sterling, Virginia",2025-08-04,"The job description for a Special Education Teacher, Special Categorical (SY 25-26), at Loudoun County Public Schools includes planning and implementing instructional programs, monitoring student behavior, coordinating with other staff members, and participating in professional development activities."
School Counselor,$15 per hour.,"Henrietta Lacks Elementary School - Stone Ridge, Virginia",2025-08-04,"The job description for a School Counselor is to help students overcome learning problems and develop as productive citizens through the guidance and development of their potential. The role involves collecting data on student outcomes, analyzing trends, communicating results to stakeholders, providing in-service training, fostering a positive school climate, and collaborating with various stakeholders to support student achievement and wellness."
Library Assistant,$10 per hour,"Hamilton, Virginia",2025-08-04,"The job description for Library Assistant at Loudoun County Public Schools involves providing clerical support to school librarians, including processing library materials, circulating resources, and locating materials for students and staff."
"Loudoun County Public Schools Cardinal Ridge Elementary School - Centreville, Virginia Open in Google Maps Position Literacy Tutor",$32/hour,"Cardinal Ridge Elementary School - Centreville, Virginia",2025-08-03,"The position is a Part-Time Literacy Tutor role for Loudoun County Public Schools, where the individual works with students in grades K-3 to improve early literacy skills through small group instruction and reading specialist support."
Administrator - BNF-03C,"$83,122 per hour","Ashburn, Virginia",unknown,"The Budget Coordinator reports to the Director, Budget and Financial Analytics, works in a remote capacity, and is responsible for managing tracking mechanisms and ensuring budget data integrity and accuracy through the development lifecycle."
Instructional Support > Paraprofessional / IA,$22-$28 per hour,"VA, Leesburg",20250804,"This is a job posting for a Paraprofessional/IA (Instructional Assistant) position at Loudoun County Public Schools in Virginia. The employee will assist teachers with students who have physical disabilities or intellectual disabilities, preparing materials, supervising student behavior, and performing clerical duties."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Intellectual Disabilities)",$10 per hour,Elaine E. Thompson Elementary School - Dulles,2025-08-04,"Here is a concise summary of the job description:

The employee will provide instructional support, training, and personal assistance to teachers in special education settings, assisting with classroom management, behavior supervision, and learning tasks. The role requires regular communication and interaction with students and teachers, and involves working effectively under supervision."
Safety and Security Specialist,$38.30 per hour,"Leesburg, VA",2025-08-04,"The job description is for a Safety and Security Specialist, reporting to the Safety and Security Specialist. The role involves enforcing regulations regarding student safety, communicating with students and staff, monitoring behavior, presenting security information orally, and lifting moderate to heavy weights (up to 50 pounds) through regular physical activity."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Cross Category)",$12 per hour,"Arcola Elementary School 
Aldie, Virginia",2025-08-04,"An employee is responsible for assisting teachers with students with physical disabilities or intellectual disabilities in the classroom, preparing materials, supervising student behavior, and providing personal care assistance as required."
"Teacher, Special Education (Intellectual Disabilities) (SY 25-26)
Loudoun County Public Schools 
Willard Middle School - Aldie, Virginia",$20-$22 per hour,"Willard Middle School - Aldie, Virginia",20250604,"The job description for the Special Education Teacher (Intellectual Disabilities) position at Loudoun County Public Schools includes planning and implementing instructional programs, supervising student behavior, communicating with students on instructional expectations, and utilizing various teaching materials to enhance learning. The physical demands of the job include sitting, using hands, reaching, standing, walking, and occasionally lifting up to 25 pounds while stooping or bending."
Student Services > School/Guidance Counselor,"$22-34 per hour (exempt, FLSA status)","Middleburg, Virginia",2025-08-04,"The School Counselor will be responsible for collecting data on student outcomes, providing in-service training, collaborating with administrators and faculty, fostering a positive climate of support, and reporting data to stakeholders. They must possess normal cognitive abilities, including the ability to learn and apply practices and policies. Regularly sitting and/or remaining in a stationary position for long periods may be required."
"Paraprofessional / IA Teacher Assistant, Kindergarten",$21.40-$24.08 per month.,"Loudoun County Public Schools
Catoctin Elementary School - Leesburg, Virginia",2025-08-04,"The job description for a Paraprofessional / IA (Instructional Assistant) at Loudoun County Public Schools involves assisting teachers in the classroom, supervising student behavior, preparing materials, and performing clerical duties with minimal supervision. The role requires experience as a teacher aide or working with children, physical ability to lift and assist students, and good human relations skills."
Classroom Teacher > Elementary,$15 per hour,"Hutchison Farm Elementary School, Loudoun County",2025-08-05,"To plan, design, implement, and assess an instructional program in an elementary environment that promotes student academic potential, develops and fulfills it through diverse learning experiences, and provides opportunities for social development."
Physical Requirements: Loudness.,$25 per hour,"Ashburn, Virginia",2025-08-04,"The Teacher will plan, design, implement, and assess an instructional program for high school students, guiding them to develop academic potential. They will also provide individualized support in various settings, including the classroom and outside activities."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Cross Category)",$12/hour,"ALDIE, VA",2025-08-04,"The job description is for an Instructional Support Paraprofessional / IA Teacher Assistant in Loudoun County Public Schools, providing support to teachers with students with physical disabilities or intellectual disabilities. The role involves assisting the teacher, preparing classroom materials, supervising student behavior, and performing clerical duties under the guidance of a licensed teacher."
"Teacher, Special Education (Cross-Category) (SY 25-26)",$40-$50 per hour,"Stone Ridge, Virginia",2025-08-03,"The job description for the Loudoun County Public Schools Teacher, Special Education (Cross-Category) position involves planning and implementing instructional programs, providing educational services to students, and managing student behavior in an instructional setting. The role requires assessing student achievement, communicating with students on instructional expectations, and performing a variety of duties such as teaching classes, supervising student monitoring, and utilizing technology for learning."
Behavioral Assistant,$34.05/hour,"Sterling, VA",2025-08-03,"The job description for a Behavioral Assistant at Loudoun County Public Schools is to provide support to students with behavioral challenges on the autism spectrum under the direction of a licensed teacher. The role involves implementing individualized behavior plans, participating in training, and using skills learned from this training to address recurring behavioral situations with supervision."
Teacher Assistant - Study Hall Monitor,$20-$22 per hour,"Ashburn, VA",2025-08-04,"The Teacher Assistant - Study Hall Monitor position at Loudoun County Public Schools involves monitoring student work and supervising students in a study hall, maintaining a quiet atmosphere, initiating daily assignments, and using independent judgment to address recurring situations."
"Map Literacy Tutor
Loudoun County Public Schools
Arcola Elementary School - Aldie, Virginia",$32/hour,"ALDIE, VA",20230504,"The position is a Literacy Tutor for Loudoun County Public Schools, working with students in grades K-3 to improve early literacy skills through group instruction and reading specialist support."
"Assistant Coordinator, Summer in the Arts (Part-time)",$42.44 per hour,"Ashburn, VA",20250804,"The Assistant Coordinator, Summer in the Arts (Part-time) position requires selecting, creating a schedule for and leading a group of high school students (interns), coordinating fire drills with safety personnel, and collaborating on arts-related tasks, all while possessing a valid Virginia teaching license endorsement."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Autism)",$10 per hour,PVH-B,08-04-2025,"The job is for a Paraprofessional / IA Teacher Assistant in Loudoun County Public Schools, assisting teachers with students with physical disabilities or intellectual disabilities. The role involves instructional support, classroom management, and personal care assistance under the teacher's supervision."
Support Staff > Supervisory Aide,$26.04 per hour,"Purcellville, VA",2025-08-05,"This job posting is for a Warehouse Supervisor Aide Specialist, responsible for maintaining the accuracy of the inventory control system through daily data entry and physical inventory duties."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (ED - Emotional Disabilities)",$24.0 per hour,"Ashburn, VA",2025-08-04,"An Instructional Support Paraprofessional/IA Teacher Assistant in Loudoun County Public Schools is responsible for assisting teachers with students who have physical disabilities or intellectual disabilities, including preparing classroom materials, supervising student behavior, and providing personal assistance as required."
Middle School Dean,"$1,318/Licenced Salary Scale plus Stipend","Sterling, VA",2025-08-04,"The Middle School Dean assists Principal in promoting student well-being and providing educational programs. The role involves conveying instructions, learning, recalling policies, and working in a stationary position with occasional lifting or force exertion, typically up to 25 pounds."
Teacher Assistant - Study Hall Monitor,$8.00 per hour,"Ashburn, Virginia",2025-08-04,"The job description for the Teacher Assistant - Study Hall Monitor position involves monitoring student work and supervising students in a study hall environment. The employee is responsible for maintaining order and creating a quiet atmosphere while also performing related tasks as required, following through on their daily assignments, and using independent judgment to handle recurring situations."
"Clerical Support, Part-time (Career, Technical and Adult Education Office)",$16.51/hourly,"Ashburn, VA",2025-08-03,"The part-time clerical will provide record-keeping, data entry, and administrative support for the Career and Technical Education Office in Loudoun County Public Schools. The role includes coordinating events, producing program materials, preparing information, and working with other schools and department chairs."
Classroom Teacher > Elementary,$13 per hour,"Mill Run Elementary School
Ashburn, Virginia",2025-08-04,"The Teacher will design, implement, and assess an instructional program for kindergarten through fifth-grade students in Mill Run Elementary School, promoting academic potential and social behaviors through developmentally appropriate methods."
Cafeteria Monitor,$15.65 per hour,"Hovatter Elementary School - Stone Ridge, Virginia",2025-08-04,"A part-time food service employee responsible for overseeing students in the school lunchroom from entering to leaving, assisting with lunch activities, seating students, arranging tables, and performing cleanup duties."
"Teacher, Special Education (Autism)",$10 per hour,"* Hamilton, Virginia","Aug 8, 2025","The job description involves planning and implementing an instructional program for students with autism, including monitoring and controlling student behavior. The incumbent provides educational services and performs various duties such as classroom instruction, student supervision, and managing learning activities within a team or departmental setting."
Administrative Assistant,$12 per hour,"Ashburn, Virginia","Aug 11, 2025","The job description for the Administrative Assistant I (School-Based) role at Loudoun County Public Schools is for a general clerical and administrative support position in school operations, requiring routine tasks such as phone and visitor reception work, data entry, filing maintenance, and library work."
Reading Teacher > Reading/Literacy,$12-$15 per hour,Virginia Leesburg,2025-08-04,"A Classroom Teacher is required to provide expert attention to students' reading needs and support teachers in implementing effective reading instruction. The role involves regular verbal communication, conveying detailed instructions to other workers accurately. The position requires sitting for long periods, exerting moderate force occasionally, and traveling frequently."
Payroll Technician II,$23-$28 per hour,"Ashburn, Virginia",2025-08-04,"This Payroll Technician II position involves processing various payroll-related tasks, including absentee reports, substitute pay, stipends, and leave reporting. The role also requires assisting with customer service, answering frequent calls and emails from employees. The employee must possess normal cognitive abilities, including learning and applying practices and policies, as well as the ability to convey instructions accurately through spoken communication."
"Citizenship, residency or work visa required
Contact Information
PUP-04W, PUP-04P
Email: recruitment@lcps.org
Map The content you submit, offer, contribute, attach, post, or display (each a “Submission”) will be viewed by other users of the service who may or may not be accurately representing who they are or who they represent. Do not include any sensitive data in your submissions. Any submission or any use or reliance on any content or materials posted via the service or obtained through the use of the service is at your own risk. “Sensitive data” for purposes of this section means social security or other government-issued identification numbers, medical or health information, account security information, individual financial account information, credit/debit/gift or other payment card information, account passwords, individual credit and income information or any other sensitive personal data as defined under applicable laws. Coordinator, CSA (Children's Services Act)","$104,795 - $168,139 per year.","Procedural Support Office - Ashburn, Virginia",20250904,The job description for the Children's Services Act (CSA) Coordinator is responsible for coordinating programs and services for students in accordance with provisions of the CSA.
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Cross Category)",$8 per hour,VA,08-04-2025,"This paraprofessional IA assistant works under the guidance of a teacher in Loudoun County Public Schools, providing instructional support, training, and personal assistance to students with physical disabilities or intellectual disabilities. The role involves assisting teachers with classroom duties, student behavior supervision, learning techniques, and clerical tasks, all while working effectively under supervision."
Prefer Experience as a Teacher or Classified Employee in Loudoun County Public Schools.,'$10 per hour',"Sterling, VA",2025-08-04,"The head athletic coach will be responsible for supervising athletes at various events, advising the athletic director on schedules and equipment needs, and ensuring compliance with VHSL rules. They will also be present during contests and track junior varsity and freshmen games. The role requires coaching experience or participation in the sport at high school or college levels, CPR and First Aid training, and a preference for working in Loudoun County Public Schools."
Cafeteria Monitor,$15.65 per hour,"Cedar Lane Elementary School - Ashburn, Virginia","Jul 21, 2025","The job requires overseeing students from entrance to exit of the lunchroom, assisting with student needs, maintaining order and etiquette, helping parents or visitors, and performing various tasks such as arranging seating and clean-up after dismissal."
"Map Gymnastics, Assistant Coach",$10 per hour,"Sterling, VA",2025-08-03,"The job description is for a high school gymnastics assistant coaching position at Dominion High School in Sterling, Virginia. The ideal candidate should have coaching experience or participation in the sport on high school levels, CPR/First Aid training, and a preference for working with Loudoun County Public Schools employees or candidates with a teaching license."
Cheerleading Head Coach,$10 per hour,"Sterling, VA",2025-08-04,"The job posting describes a part-time head athletic coach position at a Loudoun County Public School. The responsibilities include organizing team recruitment, supervising assistant coaches, recommending student athletes for varsity letter or junior varsity positions, observing practices and games, and overseeing the performance of assistant coaches in their respective sports."
"Map Job Coach, Special Education
Loudoun County Public Schools",$21.40 - $27.41 per hour,"Leesburg, Virginia",2025-08-04,"A PUP-04AA job coach position requires specialized skills, training, and experience working with children. The role involves providing short-term support to students in the school or community, assisting in setting work plans, collecting data on student progress, and providing direct training. To be qualified, applicants must have excellent communication skills, child development knowledge, and experience working with children, as well as a relevant educational background."
Executive Assistant,$33.82 - $43.65 per hour,Virginia Ashburn,"Aug 4, 2025","The job description for an Executive Assistant at Loudoun County Public Schools involves providing administrative support to various departments, preparing complex documents, and communicating with other parties. The role typically begins immediately and is available until filled. Requirements include a non-exempt FLSA status and the ability to work in a fast-paced environment, sitting or standing for extended periods of time."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Cross Category)",$12/hour,"Frederick Douglass Elementary School - Leesburg, Virginia",08-04-2025,"The position is a Paraprofessional/IA Teacher Assistant in Special Education, assisting teachers with students with physical disabilities or intellectual disabilities. The role requires providing instructional support, classroom management, and personal care as needed."
School Counselor,$10/hour,"Loudoun County Public Schools
Leesburg, Virginia",2025-08-04,"The School Counselor assists students in making plans for their education, developing as productive citizens, and overcoming problems that impede learning. They collect, analyze, and report data on the effectiveness of their program, and provide in-service training and professional growth opportunities to staff members."
"Teacher Assistant, Alternative Education Program",$8 per hour,VA.,2025-08-04,"The job description is for a paraprofessional in instructional support, performing clerical tasks such as filing and photocopying, as well as arranging field trips. The employee must be able to work effectively with students and small groups, meeting instructional objectives."
JV Assistant Coach,$10 per hour,"Stone Ridge, Virginia",2025-08-04,"The job posting is for an Assistant Coach in Softball at Lightridge High School in Stone Ridge, Virginia. The Assistant Coach will work with the head athletic coach to develop a well-structured program, attend meetings, recommend equipment and supplies, and foster good sportsmanship among athletes."
Physical Requirements,$10 per hour,"Freedom High School - Chantilly, VA",08-04,"The job requires planning and designing an instructional program for high school students, monitoring their progress, and presenting information to parents. The Teacher must also develop assessments, create classroom expectations, manage student behavior outside the classroom, and participate in meetings with administration."
"Job Title: School-Based Resource Teacher, Reading",$12 per hour,"Sterling, VA",2025-08-04,"The School-Based Resource Teacher for Reading position involves providing expert attention to student reading needs, implementing effective reading instruction, and supporting teachers. The role requires regular communication with teachers through spoken instructions and moderate physical exertion."
